1001,Dota 2,MOBA,90.7,77.7,COMPLETED
1001,The Sims 4,Simulation,29.5,10.0,ABANDONED
1001,Tekken 8,Fighting,239.9,27.7,PLAYING
1002,Cyberpunk 2077,Action RPG,428.7,47.6,PLAYING
1002,Stardew Valley,Simulation,3.5,28.7,ABANDONED
1002,Monster Hunter Wilds,Action RPG,211.2,78.7,COMPLETED
1005,Street Fighter 6,Fighting,149.5,72.8,COMPLETED
1005,Dota 2,MOBA,233.7,80.2,COMPLETED
1005,Monster Hunter Wilds,Action RPG,24.0,6.3,ABANDONED
1007,Fortnite,Battle Royale,551.6,12.6,PLAYING
1007,Counter-Strike 2,Tactical Shooter,0.2,3.7,BACKLOG
1008,Stardew Valley,Simulation,229.8,57.5,COMPLETED
1008,EA Sports FC 26,Sports,85.6,80.5,COMPLETED
1008,Tekken 8,Fighting,87.2,99.3,COMPLETED
1009,EA Sports FC 26,Sports,201.1,69.7,PLAYING
1009,Monster Hunter Wilds,Action RPG,196.1,48.1,COMPLETED
1009,Valorant,Tactical Shooter,1.2,1.9,BACKLOG
1010,Elden Ring,Action RPG,183.5,21.8,PLAYING
1010,Monster Hunter Wilds,Action RPG,0.6,3.9,BACKLOG
1010,Roblox,Platform,366.8,80.4,PLAYING
1010,Dead by Daylight,Horror,1.5,1.2,BACKLOG
1010,Marvel Rivals,Hero Shooter,62.5,78.4,PLAYING
1011,Counter-Strike 2,Tactical Shooter,557.5,47.5,PLAYING
1011,GTA V,Open World,182.3,66.1,COMPLETED
1011,Elden Ring,Action RPG,308.4,53.9,PLAYING
1012,Hollow Knight Silksong,Metroidvania,214.6,74.7,COMPLETED
1012,Tekken 8,Fighting,1.2,0.4,BACKLOG
1012,Dota 2,MOBA,155.9,47.3,PLAYING
1013,EA Sports FC 26,Sports,114.6,68.9,PLAYING
1013,Minecraft,Sandbox,1.2,0.5,BACKLOG
1014,Street Fighter 6,Fighting,664.6,84.9,PLAYING
1015,Stardew Valley,Simulation,251.4,62.0,COMPLETED
1016,Monster Hunter Wilds,Action RPG,0.7,0.1,BACKLOG
1016,Baldurs Gate 3,RPG,632.1,73.6,PLAYING
1017,Hollow Knight Silksong,Metroidvania,57.6,49.5,COMPLETED
1017,Elden Ring,Action RPG,1.3,0.4,BACKLOG
1017,Roblox,Platform,95.9,77.1,COMPLETED
1017,Overwatch 2,Hero Shooter,36.8,83.2,PLAYING
1018,Fortnite,Battle Royale,10.1,11.5,ABANDONED
1018,Hades II,Roguelike,176.0,60.1,COMPLETED
1018,Roblox,Platform,0.2,4.2,BACKLOG
1018,Minecraft,Sandbox,35.9,67.4,COMPLETED
1018,Marvel Rivals,Hero Shooter,12.6,8.9,ABANDONED
1019,Hades II,Roguelike,1.3,3.6,BACKLOG
1019,Baldurs Gate 3,RPG,1.4,4.1,BACKLOG
1019,Roblox,Platform,0.3,4.2,BACKLOG
1019,Valorant,Tactical Shooter,669.9,15.9,PLAYING
1021,Minecraft,Sandbox,48.3,96.5,COMPLETED
1021,Roblox,Platform,0.1,3.6,BACKLOG
1021,EA Sports FC 26,Sports,150.7,50.1,COMPLETED
1021,Rocket League,Sports,29.5,23.1,ABANDONED
1022,Marvel Rivals,Hero Shooter,28.2,18.7,ABANDONED
1022,Roblox,Platform,178.3,33.7,PLAYING
1022,Hades II,Roguelike,161.4,89.3,PLAYING
1022,Valorant,Tactical Shooter,113.9,55.6,COMPLETED
1022,Counter-Strike 2,Tactical Shooter,0.1,1.3,BACKLOG
1023,Counter-Strike 2,Tactical Shooter,74.6,15.3,PLAYING
1025,Monster Hunter Wilds,Action RPG,0.3,4.7,BACKLOG
1025,Stardew Valley,Simulation,0.7,1.1,BACKLOG
1025,The Sims 4,Simulation,148.0,72.4,COMPLETED
1025,Counter-Strike 2,Tactical Shooter,43.1,77.4,COMPLETED
1027,Dead by Daylight,Horror,1.2,1.0,BACKLOG
1027,Baldurs Gate 3,RPG,245.1,68.5,PLAYING
1027,Valorant,Tactical Shooter,0.1,2.9,BACKLOG
1028,Stardew Valley,Simulation,248.2,86.7,COMPLETED
1028,Monster Hunter Wilds,Action RPG,177.3,61.3,PLAYING
1028,League of Legends,MOBA,235.7,69.8,COMPLETED
1028,Valorant,Tactical Shooter,12.0,10.2,ABANDONED
1028,GTA V,Open World,150.5,85.9,COMPLETED
1029,Minecraft,Sandbox,253.9,56.0,COMPLETED
1029,Helldivers 2,Coop Shooter,231.1,55.5,COMPLETED
1029,Hollow Knight Silksong,Metroidvania,650.0,67.2,PLAYING
1030,Monster Hunter Wilds,Action RPG,0.6,4.5,BACKLOG
1030,League of Legends,MOBA,193.8,69.1,COMPLETED
1030,Baldurs Gate 3,RPG,75.9,55.9,COMPLETED
1031,Helldivers 2,Coop Shooter,357.1,81.9,PLAYING
1031,Stardew Valley,Simulation,404.8,77.3,PLAYING
1031,Hollow Knight Silksong,Metroidvania,0.6,5.0,BACKLOG
1031,Counter-Strike 2,Tactical Shooter,15.8,72.1,COMPLETED
1031,Street Fighter 6,Fighting,219.3,60.3,COMPLETED
1032,Rocket League,Sports,28.0,9.2,ABANDONED
1032,Cyberpunk 2077,Action RPG,10.8,93.8,PLAYING
1033,Elden Ring,Action RPG,24.8,81.7,COMPLETED
1033,Rocket League,Sports,126.8,60.9,COMPLETED
1033,Cyberpunk 2077,Action RPG,27.6,27.4,ABANDONED
1033,Marvel Rivals,Hero Shooter,1.1,4.8,BACKLOG
1033,Dead by Daylight,Horror,97.1,48.2,COMPLETED
1035,Pokemon Legends Z-A,RPG,13.1,11.3,ABANDONED
1035,Cyberpunk 2077,Action RPG,240.0,17.6,PLAYING
