1001,CriticalGamer856,26,Colombia,PC
1002,NovaLegend327,20,Brazil,PC
1003,CodeSupport350,22,Chile,PC
1004,CyberWizard626,25,Peru,PlayStation
1005,MochiSniper910,24,Chile,PlayStation
1006,ChifaCoder720,18,Chile,Xbox
1007,LimaHunter396,25,Ecuador,PC
1008,GhostBoss694,24,Peru,PC
1009,NoobWizard410,25,Mexico,PC
1010,GGPlayer272,24,Spain,PC
1011,NoobTank233,26,Argentina,PC
1012,CriticalMain302,23,Peru,PC
1013,LimaCat306,22,Argentina,PlayStation
1014,TurboHunter898,23,Peru,PlayStation
1015,LlamaKid614,20,Peru,PC
1016,RetroGoblin913,25,Peru,PlayStation
1017,ZeroPilot536,24,Spain,Nintendo Switch
1018,LlamaWolf239,27,Peru,Xbox
1019,LootWizard486,22,Peru,PlayStation
1020,ManaKid458,24,Argentina,PC
1021,LlamaFox450,25,Peru,PC
1022,ShadowDuck396,20,Peru,Nintendo Switch
1023,QuantumNinja141,18,Brazil,PC
1024,LootBoss258,21,Peru,PC
1025,RogueNinja231,21,Spain,PC
1026,MochiSniper214,24,Argentina,Nintendo Switch
1027,ZeroGoblin316,27,Mexico,Nintendo Switch
1028,ClutchNinja18,23,Ecuador,PC
1029,HyperLegend689,22,Peru,PC
1030,RetroWolf85,22,Spain,Xbox
1031,ChifaHunter564,23,Argentina,PC
1032,TurboEnjoyer890,18,Ecuador,PC
1033,AFKKnight222,20,Colombia,PC
1034,MangoCat609,22,Peru,PC
1035,PingWolf88,22,Peru,PlayStation
1036,HyperEnjoyer306,27,Peru,Nintendo Switch
1037,PandaNinja844,19,Spain,Nintendo Switch
1038,CyberCoder854,21,Brazil,PC
1039,PotatoGamer518,21,Mexico,PC
1040,NoobPilot959,24,Spain,PC
1041,LootSupport568,19,Peru,PlayStation
1042,LagPilot732,20,Ecuador,PC
1043,LimaWizard805,25,Mexico,PlayStation
1044,RogueBear259,23,Peru,PC
1045,ChifaFox585,18,Peru,PC
1046,ChifaBear269,22,Peru,PC
1047,CodeEnjoyer118,23,Peru,PC
1048,MangoHunter841,26,Spain,Nintendo Switch
1049,CyberCarry837,25,Spain,PC
1050,PingPilot511,19,Chile,PC
1051,ChifaSniper600,23,Peru,PlayStation
1052,LootCat40,18,Colombia,Xbox
1053,ClutchNinja218,27,Mexico,PlayStation
1054,NightNinja495,24,Peru,PlayStation
1055,NightCoder258,23,Argentina,PC
1056,ClutchEnjoyer701,23,Peru,PC
1057,MochiHunter762,25,Spain,PC
1058,ClutchCat999,21,Peru,PC
1059,CyberKnight762,24,Peru,PC
1060,HyperSniper399,19,Ecuador,PC
