2026-04-01,08:00,30001001,75.00
2026-04-01,10:00,30001001,98.00
2026-04-01,12:00,30001001,121.00
2026-04-01,14:00,30001002,94.00
2026-04-01,16:00,30001002,117.00
2026-04-01,18:00,30001002,140.00
2026-04-01,20:00,30001003,113.00
2026-04-01,22:00,30001003,136.00
2026-04-02,00:00,30001003,159.00
2026-04-02,02:00,30001004,132.00
2026-04-02,04:00,30001004,155.00
2026-04-02,06:00,30001004,178.00
2026-04-02,08:00,30001005,151.00
2026-04-02,10:00,30001005,174.00
2026-04-02,12:00,30001005,197.00
2026-04-02,14:00,30001006,170.00
2026-04-02,16:00,30001006,193.00
2026-04-02,18:00,30001006,90.00
2026-04-02,20:00,30001007,189.00
2026-04-02,22:00,30001007,86.00
2026-04-03,00:00,30001007,109.00
2026-04-03,02:00,30001008,82.00
2026-04-03,04:00,30001008,105.00
2026-04-03,06:00,30001008,128.00
2026-04-03,08:00,30001009,101.00
2026-04-03,10:00,30001009,124.00
2026-04-03,12:00,30001009,147.00
2026-04-03,14:00,30001010,120.00
2026-04-03,16:00,30001010,143.00
2026-04-03,18:00,30001010,166.00
2026-04-03,20:00,30001011,139.00
2026-04-03,22:00,30001011,162.00
2026-04-04,00:00,30001011,185.00
2026-04-04,02:00,30001012,158.00
2026-04-04,04:00,30001012,181.00
2026-04-04,06:00,30001012,78.00
2026-04-04,08:00,30001013,177.00
2026-04-04,10:00,30001013,200.00
2026-04-04,12:00,30001013,97.00
2026-04-04,14:00,30001014,196.00
2026-04-04,16:00,30001014,93.00
2026-04-04,18:00,30001014,116.00
2026-04-04,20:00,30001015,89.00
2026-04-04,22:00,30001015,112.00
2026-04-05,00:00,30001015,135.00
2026-04-05,02:00,30001016,108.00
2026-04-05,04:00,30001016,131.00
2026-04-05,06:00,30001016,154.00
2026-04-05,08:00,30001017,127.00
2026-04-05,10:00,30001017,150.00
2026-04-05,12:00,30001017,173.00
2026-04-05,14:00,30001018,146.00
2026-04-05,16:00,30001018,169.00
2026-04-05,18:00,30001018,192.00
2026-04-05,20:00,30001019,165.00
2026-04-05,22:00,30001019,188.00
2026-04-06,00:00,30001019,85.00
2026-04-06,02:00,30001020,184.00
2026-04-06,04:00,30001020,81.00
2026-04-06,06:00,30001020,104.00
2026-04-06,08:00,30001021,77.00
2026-04-06,10:00,30001021,100.00
2026-04-06,12:00,30001022,96.00
2026-04-06,14:00,30001022,119.00
2026-04-06,16:00,30001023,115.00
2026-04-06,18:00,30001023,138.00
2026-04-06,20:00,30001024,134.00
2026-04-06,22:00,30001024,157.00
2026-04-07,00:00,30001025,153.00
2026-04-07,02:00,30001025,176.00
2026-04-07,04:00,30001026,172.00
2026-04-07,06:00,30001026,195.00
2026-04-07,08:00,30001027,191.00
2026-04-07,10:00,30001027,88.00
2026-04-07,12:00,30001028,84.00
2026-04-07,14:00,30001028,107.00
2026-04-07,16:00,30001029,103.00
2026-04-07,18:00,30001029,126.00
2026-04-07,20:00,30001030,122.00
2026-04-07,22:00,30001030,145.00
2026-04-08,00:00,30001031,141.00
2026-04-08,02:00,30001031,164.00
2026-04-08,04:00,30001032,160.00
2026-04-08,06:00,30001032,183.00
2026-04-08,08:00,30001033,179.00
2026-04-08,10:00,30001033,76.00
2026-04-08,12:00,30001034,198.00
2026-04-08,14:00,30001034,95.00
2026-04-08,16:00,30001035,91.00
2026-04-08,18:00,30001035,114.00
2026-04-08,20:00,30001036,110.00
2026-04-08,22:00,30001037,129.00
2026-04-09,00:00,30001038,148.00
2026-04-09,02:00,30001039,167.00
2026-04-09,04:00,30001040,186.00
2026-04-09,06:00,30001041,79.00
2026-04-09,08:00,30001042,98.00
2026-04-09,10:00,30001043,117.00
2026-04-09,12:00,30001044,136.00
2026-04-09,14:00,30001045,155.00
2026-04-09,16:00,30001046,174.00
2026-04-09,18:00,30001047,193.00
2026-04-09,20:00,30001048,86.00
2026-04-09,22:00,30001049,105.00
2026-04-10,00:00,30001050,124.00
