G2007,425.23,GRAVE,No conducir por el carril de extremo derecho de la calzada un vehiculo de transporte público de pasajeros o de carga.
M1029,586.45,MUY GRAVE,Conducir un vehiculo especial que no se ajuste a las exigencias reglamentarias sin la autorizacion correspondiente.
M1018,606.11,MUY GRAVE,Desobedecer las indicaciones sobre el transito que ordene el efectivo de la Policia Nacional del Perú asignado al control del transito.
L3001,214.55,LEVE,Dejar mal estacionado el vehiculo en lugares permitidos.
G2072,389.95,GRAVE,Utilizar un vehiculo que tenga instalados los dispositivos electronicos permitidos obstaculizando la visibilidad del conductor.
G2065,378.40,GRAVE,Utilizar senales audibles o visibles iguales o similares a las que utilizan los vehiculos de emergencia o vehiculos oficiales.
G2052,423.87,GRAVE,Estacionar en los terminales o estaciones de ruta  fuera de los estacionamientos externos determinados por la Autoridad competente.
G2047,359.93,GRAVE,Estacionar a menos de veinte (20) metros de un cruce ferroviario a nivel.
G2031,365.30,GRAVE,Circular transportando personas en la parte exterior de la carroceria o permitir que sobresalga parte del cuerpo de personas.
M1012,631.29,MUY GRAVE,No detenerse al aproximarse a un vehiculo de transporte escolar debidamente identificado que esta recogiendo o dejando escolares.
M1036,640.08,MUY GRAVE,Circular produciendo ruidos que superen los limites maximos permisibles.
G2039,394.23,GRAVE,No reducir la velocidad al ingresar a un túnel o cruzar un puente  intersecciones o calles congestionadas.
G2010,411.19,GRAVE,Incumplir las disposiciones sobre el uso de las vias de transito rapido y/o de acceso restringido.
G2035,379.06,GRAVE,Circular transportando cargas que sobrepasen las dimensiones de la carroceria o que se encuentren ubicadas fuera de la misma.
M1025,631.82,MUY GRAVE,Detenerse para cargar o descargar mercancias en la calzada y/o en los lugares que interrumpan la circulacion.
M1026,637.20,MUY GRAVE,Estacionar o detener el vehiculo en el carril de circulacion  en carreteras o caminos donde existe berma lateral.
M1017,556.26,MUY GRAVE,Cruzar una interseccion o girar  estando el semaforo con luz roja y no existiendo la indicacion en contrario
M1015,570.44,MUY GRAVE,Circular produciendo contaminacion en un indice superior a los limites maximos permisibles de emision de gases contaminantes.
M1038,525.79,MUY GRAVE,Transportar carga sin los dispositivos de sujecion o seguridad establecidos.
M1013,650.26,MUY GRAVE,Conducir un vehiculo con neumatico(s)  cuya banda de rodadura presente desgaste inferior al establecido en el Reglamento Nacional de Vehiculos.
M1006,1221.06,MUY GRAVE,Estacionar en las curvas  puentes  túneles  pasos a desnivel en cambios de rasante  pendientes y cruces de ferrocarril.
M1046,658.70,MUY GRAVE,Obstruir la ciclovia
G2030,433.12,GRAVE,Circular en forma desordenada o haciendo maniobras peligrosas
L3002,250.32,LEVE,Estacionar un vehiculo en zonas de parqueo destinadas a vehiculos que transportan a personas con discapacidad o conducidos por estos.
M1033,624.62,MUY GRAVE,Usar las placas de exhibicion  rotativa o transitoria fuera del plazo  horario o ruta establecida o cuando esta ha caducado o ha sido invalidada.
G2064,371.48,GRAVE,Incumplir con devolver las placas de exhibicion  rotativa o transitoria dentro de los plazos establecidos.
G2062,409.30,GRAVE,Circular con placas ilegibles o sin iluminacion  que impida su lectura a traves de medios electronicos.
G2018,398.27,GRAVE,Conducir un vehiculo sin que ambas manos esten sobre el volante de direccion  excepto cuando es necesario realizar los cambios de velocidad.
L3006,220.25,LEVE,Utilizar la bocina para llamar la atencion en forma innecesaria
G2063,431.38,GRAVE,No llevar las placas de rodaje en el lugar que corresponde.
G2069,359.96,GRAVE,Detener el vehiculo sobre la demarcacion en el pavimento de la senal No bloquear cruce
G2051,418.99,GRAVE,Estacionar un vehiculo a una distancia menor a un metro de la parte delantera o posterior de otro ya estacionado.
M1043,6436.95,MUY GRAVE,Circular  interrumpir y/o impedir el transito  en situaciones de desastre natural o emergencia.
G2059,396.39,GRAVE,No respetar las senales que rigen el transito  cuyo incumplimiento no se encuentre tipificado en otra infraccion.
G2054,396.09,GRAVE,Estacionar un vehiculo en vias con pendientes pronunciadas sin asegurar su inmovilizacion.
G2009,368.89,GRAVE,Retroceder  salvo casos indispensables para mantener libre la circulacion  para incorporarse a ella o para estacionar el vehiculo.
M1001,4791.53,MUY GRAVE,Conducir con presencia de alcohol en la sangre o bajo los efectos de estupefacientes y que haya participado en un accidente de transito.
G2029,369.96,GRAVE,No llevar puesto el cinturon de seguridad y/o permitir que los ocupantes del vehiculo no lo utilicen.
