P0001,Avena Pacifico Tipo 17,ABARROTES,22,25
P0002,Bebida Isotonica Costa Tipo 24,BEBIDAS,40,56
P0003,Jabon Liquido Amazonia Tipo 22,LIMPIEZA,24,35
P0004,Alcohol Gel Valle Tipo 05,HIGIENE,35,45
P0005,Cereal Pacifico Tipo 01,SNACKS,28,43
P0006,Salsa de Tomate Amazonia Tipo 11,CONSERVAS,22,28
P0007,Cuaderno Kantu Tipo 18,OFICINA,21,26
P0008,Arena Gato Amazonia Tipo 11,MASCOTAS,31,43
P0009,Azucar Sierra Tipo 05,ABARROTES,44,66
P0010,Agua Inti Tipo 13,BEBIDAS,24,29
P0011,Lejia Norte Tipo 15,LIMPIEZA,31,43
P0012,Papel Higienico Norte Tipo 12,HIGIENE,29,36
P0013,Barra Energetica Costa Tipo 18,SNACKS,33,48
P0014,Maiz Dulce Andes Tipo 13,CONSERVAS,3,4
P0015,Folder Misti Tipo 09,OFICINA,29,42
P0016,Arena Gato Costa Tipo 03,MASCOTAS,39,45
P0017,Sal Central Tipo 03,ABARROTES,3,3
P0018,Gaseosa Sol Tipo 07,BEBIDAS,47,64
P0019,Suavizante Central Tipo 11,LIMPIEZA,24,31
P0020,Alcohol Gel Kantu Tipo 13,HIGIENE,14,18
P0021,Cereal Inti Tipo 05,SNACKS,23,26
P0022,Durazno Central Tipo 01,CONSERVAS,21,29
P0023,Marcador Andes Tipo 23,OFICINA,30,36
P0024,Alimento Perro Sol Tipo 04,MASCOTAS,3,3
P0025,Fideo Kantu Tipo 04,ABARROTES,20,24
P0026,Bebida Isotonica Pacifico Tipo 20,BEBIDAS,27,35
P0027,Suavizante Costa Tipo 14,LIMPIEZA,14,16
P0028,Pasta Dental Sol Tipo 07,HIGIENE,46,69
P0029,Papas Amazonia Tipo 05,SNACKS,25,31
P0030,Durazno Sierra Tipo 08,CONSERVAS,27,35
P0031,Folder Kantu Tipo 04,OFICINA,38,49
P0032,Alimento Perro Valle Tipo 21,MASCOTAS,38,46
P0033,Quinua Valle Tipo 12,ABARROTES,12,16
P0034,Agua Central Tipo 04,BEBIDAS,23,27
P0035,Desinfectante Central Tipo 06,LIMPIEZA,2,2
P0036,Jabon Norte Tipo 24,HIGIENE,14,20
P0037,Chocolate Kantu Tipo 18,SNACKS,21,30
P0038,Atun Costa Tipo 16,CONSERVAS,6,8
P0039,Marcador Inti Tipo 24,OFICINA,2,2
P0040,Alimento Gato Central Tipo 13,MASCOTAS,35,50
P0041,Lenteja Amazonia Tipo 11,ABARROTES,47,70
P0042,Bebida Isotonica Kantu Tipo 04,BEBIDAS,22,32
P0043,Suavizante Sol Tipo 06,LIMPIEZA,31,37
P0044,Papel Higienico Pacifico Tipo 02,HIGIENE,7,11
P0045,Barra Energetica Sol Tipo 11,SNACKS,10,13
P0046,Sardina Amazonia Tipo 14,CONSERVAS,25,32
P0047,Lapicero Valle Tipo 14,OFICINA,42,60
P0048,Alimento Gato Pacifico Tipo 10,MASCOTAS,22,33
P0049,Arroz Costa Tipo 21,ABARROTES,36,43
P0050,Jugo Kantu Tipo 13,BEBIDAS,5,7
P0051,Suavizante Valle Tipo 18,LIMPIEZA,15,21
P0052,Pasta Dental Sol Tipo 21,HIGIENE,10,14
P0053,Caramelo Kantu Tipo 11,SNACKS,8,12
P0054,Maiz Dulce Amazonia Tipo 24,CONSERVAS,45,54
P0055,Lapicero Sierra Tipo 21,OFICINA,42,56
P0056,Shampoo Mascota Misti Tipo 13,MASCOTAS,11,15
P0057,Cafe Central Tipo 03,ABARROTES,22,31
P0058,Jugo Central Tipo 15,BEBIDAS,6,9
P0059,Detergente Amazonia Tipo 15,LIMPIEZA,26,37
P0060,Toalla Humeda Kantu Tipo 04,HIGIENE,46,68
P0061,Papas Norte Tipo 07,SNACKS,5,6
P0062,Sardina Norte Tipo 12,CONSERVAS,22,29
P0063,Marcador Norte Tipo 24,OFICINA,18,27
P0064,Snack Canino Pacifico Tipo 17,MASCOTAS,2,3
P0065,Harina Inti Tipo 23,ABARROTES,17,26
P0066,Jugo Sol Tipo 11,BEBIDAS,41,57
P0067,Detergente Central Tipo 02,LIMPIEZA,35,47
P0068,Pasta Dental Andes Tipo 15,HIGIENE,8,10
P0069,Barra Energetica Central Tipo 09,SNACKS,18,21
P0070,Leche Evaporada Misti Tipo 05,CONSERVAS,21,28
P0071,Cuaderno Pacifico Tipo 10,OFICINA,6,6
P0072,Alimento Perro Norte Tipo 13,MASCOTAS,26,32
P0073,Cafe Andes Tipo 21,ABARROTES,18,24
P0074,Gaseosa Kantu Tipo 24,BEBIDAS,29,43
P0075,Limpiavidrios Amazonia Tipo 16,LIMPIEZA,37,52
P0076,Alcohol Gel Valle Tipo 10,HIGIENE,37,54
P0077,Chocolate Sierra Tipo 05,SNACKS,9,13
P0078,Maiz Dulce Sierra Tipo 17,CONSERVAS,43,51
P0079,Folder Amazonia Tipo 14,OFICINA,8,10
P0080,Alimento Perro Valle Tipo 10,MASCOTAS,17,21
P0081,Fideo Andes Tipo 15,ABARROTES,28,42
P0082,Te Sol Tipo 01,BEBIDAS,45,68
P0083,Detergente Sol Tipo 07,LIMPIEZA,24,36
P0084,Alcohol Gel Inti Tipo 04,HIGIENE,45,54
P0085,Barra Energetica Sol Tipo 23,SNACKS,18,22
P0086,Maiz Dulce Sierra Tipo 19,CONSERVAS,13,17
P0087,Papel A4 Valle Tipo 01,OFICINA,2,2
P0088,Alimento Gato Pacifico Tipo 20,MASCOTAS,15,22
P0089,Arroz Costa Tipo 19,ABARROTES,20,29
P0090,Jugo Inti Tipo 23,BEBIDAS,27,34
P0091,Desinfectante Norte Tipo 02,LIMPIEZA,11,15
P0092,Alcohol Gel Costa Tipo 16,HIGIENE,37,51
P0093,Chocolate Costa Tipo 03,SNACKS,25,29
P0094,Salsa de Tomate Sol Tipo 20,CONSERVAS,43,51
P0095,Papel A4 Sol Tipo 14,OFICINA,35,50
P0096,Snack Canino Inti Tipo 16,MASCOTAS,11,15
P0097,Azucar Central Tipo 16,ABARROTES,34,47
