20189596,MEC289,17
20189596,MEC269,7
20187490,MAT219,16
20171444,MEC270,13
20177013,MEC209,11
20182284,MAT218,10
20161555,MAT241,7
20187490,FIS230,7
20165394,INF238,20
20174890,FIS229,13
20189596,FIS227,3
20161555,FIS239,5
20177013,INF238,14
20171444,MEC286,16
20193940,FIS227,11
20182284,MAT218,12
20151338,MAT241,19
20189596,FIS220,16
20151338,FIS219,9
20182284,FIS239,10
20161555,FIS227,14
20164917,MEC269,7
20175340,INF238,6
20174890,MEC269,20
20203099,FIS248,10
20187490,MEC2T3,6
20182284,MAT241,10
20203099,MAT241,15
20209347,MEC373,20
20159943,FIS218,14
20164917,INF282,13
20164265,MEC206,13
20165394,INF263,4
20189596,MEC289,18
20177013,FIS219,4
20185528,MAT781,12
20161555,FIS247,20
20161798,FIS219,10
20209347,MAT218,12
20175340,MAT241,15
20175340,FIS218,0
20161798,INF220,13
20182284,MEC373,9
20153434,MEC286,8
20189596,MEC270,10
20187490,MAT781,10
20159943,INF263,12
20209347,MEC270,9
20196975,MEC286,15
20165394,FIS219,15
20164265,INF248,19
20189596,INF248,7
20196975,INF239,15
20151402,MEC286,0
20171444,FIS247,12
20153434,MAT219,13
20161798,FIS219,20
20161798,INF248,12
20203099,INF245,10
20151338,MEC286,11
20161555,FIS229,7
20161555,MEC2T3,13
20159943,INF239,1
20153434,MEC289,11
20159943,FIS230,7
20176439,INF282,7
20159943,MEC289,14
20171444,INF238,13
20187490,FIS247,15
20165394,MEC206,10
20161798,MAT241,11
20165394,MEC286,8
20177013,INF281,15
20187490,FIS208,19
20209347,INF245,13
20175340,INF245,12
20151338,INF239,9
20193940,INF281,16
20175340,MAT241,13
20182284,MAT781,6
20159943,MEC206,16
20203099,INF250,12
20164917,FIS218,0
20196975,MEC270,15
20164265,INF220,16
20177013,INF238,14
20209347,INF248,6
20187490,MEC209,13
20161798,INF248,7
20177013,INF282,0
20177013,FIS208,12
20187490,INF246,15
20161798,MAT241,14
20151338,MAT241,9
20175376,INF282,6
20182284,INF220,1
20185528,FIS208,10
20165394,FIS239,14
20151338,FIS247,3
20182284,MEC206,10
20164917,MEC206,12
20171444,FIS219,14
20151338,FIS248,9
20164917,FIS247,12
20209347,FIS220,14
20151338,MEC2T3,2
20189596,INF245,11
20164917,MAT781,17
20161555,MAT218,20
20164917,MEC269,15
20159943,MEC289,12
20161798,MAT219,12
20151402,MAT241,14
20159943,MAT781,2
20161798,MEC269,13
20209347,MAT219,12
20159943,MEC2T2,8
20159943,INF263,4
20182284,MEC373,14
20176439,FIS203,16
20151338,MEC206,13
20164917,MEC270,10
20179448,INF246,17
20196975,FIS248,16
20189596,MEC2T3,5
20159943,MEC270,11
20189596,INF281,3
20176439,MAT781,13
20165394,INF263,11
20159943,MEC373,5
20189596,INF282,9
20204951,FIS220,4
20165394,FIS227,16
20164917,MEC269,9
20164917,INF281,9
20193940,FIS227,12
20185528,INF245,8
20187490,MEC286,12
20164265,MEC2T3,19
20159943,MAT781,6
20203099,FIS229,9
20159943,FIS229,14
20164917,MAT241,9
20203099,INF239,6
20203099,INF238,14
20151338,FIS208,14
20177013,MEC2T3,11
20171444,MEC2T3,0
20196975,INF245,13
20174723,MAT218,13
20151402,INF250,3
20209347,FIS220,0
20177013,INF250,12
20177013,MEC270,3
20175340,FIS239,11
20182284,MEC206,8
20151402,INF263,19
20185528,INF245,5
20151338,INF248,0
20203099,FIS239,12
20161555,MEC269,16
20165394,FIS247,0
20161555,FIS220,8
20176439,INF281,11
20189596,INF263,15
20164265,FIS219,1
20185528,MEC2T3,12
20161798,INF246,9
20187490,MEC2T3,14
20189596,FIS220,12
20185528,MAT781,8
20189596,FIS248,20
20193940,MEC2T3,11
20185528,MEC2T2,12
20209347,MEC209,15
20175340,FIS220,17
20165394,INF282,16
20175340,FIS219,16
20175340,MEC206,0
20175376,FIS227,15
20187490,MEC206,11
20177013,MEC289,9
20161555,INF248,0
20187490,INF281,10
20204951,FIS218,10
20168937,INF248,7
20175340,FIS248,15
20179448,FIS248,12
20165394,INF248,2
20161798,FIS229,10
20179448,INF246,11
20164917,FIS239,4
20185528,INF250,16
20161798,FIS218,8
20165394,MEC2T2,9
20187490,INF239,14
20175340,MEC2T3,5
20174723,INF281,11
20209347,MEC286,7
20189596,INF245,20
20209347,FIS208,20
20174723,MEC269,10
20164917,MEC2T3,15
20209347,INF263,10
20171444,MEC270,0
20176439,MEC2T2,12
20182284,FIS220,5
20175340,MEC209,16
20151338,INF220,12
20177013,MEC289,13
20161555,FIS218,0
20174723,INF248,14
20164917,FIS247,0
20175340,MAT218,6
20161555,FIS219,13
20209347,FIS229,8
20185528,FIS218,20
20209347,MEC209,13
20165394,MEC206,13
20187490,MEC269,5
20175340,FIS247,17
20182284,MEC206,7
20187490,FIS218,18
20182284,FIS203,16
20203099,MEC373,17
20164265,MEC286,7
20164917,FIS208,11
20165394,MEC289,6
20185528,MEC286,7
20159943,INF238,3
20175340,MEC269,16
20179448,MEC286,18
20168937,FIS247,16
20209347,INF220,13
