20187490,MAT219
20171444,MEC270
20189596,MEC289
20189596,MEC269
20177013,MEC209
20182284,MAT218
20161555,MAT241
20187490,FIS230
20165394,INF238
20174890,FIS229
20189596,FIS227
20161555,FIS239
20177013,INF238
20171444,MEC286
20193940,FIS227
20182284,MAT218
20151338,MAT241
20189596,FIS220
20151338,FIS219
20182284,FIS239
20161555,FIS227
20164917,MEC269
20175340,INF238
20174890,MEC269
20203099,FIS248
20187490,MEC2T3
20182284,MAT241
20203099,MAT241
20209347,MEC373
20159943,FIS218
20164917,INF282
20164265,MEC206
20165394,INF263
20189596,MEC289
20177013,FIS219
20185528,MAT781
20161555,FIS247
20161798,FIS219
20209347,MAT218
20175340,MAT241
20175340,FIS218
20161798,INF220
20182284,MEC373
20153434,MEC286
20189596,MEC270
20187490,MAT781
20159943,INF263
20209347,MEC270
20196975,MEC286
20165394,FIS219
20164265,INF248
20189596,INF248
20196975,INF239
20151402,MEC286
20171444,FIS247
20153434,MAT219
20161798,FIS219
20161798,INF248
20203099,INF245
20151338,MEC286
20161555,FIS229
20161555,MEC2T3
20159943,INF239
20153434,MEC289
20159943,FIS230
20176439,INF282
20159943,MEC289
20171444,INF238
20187490,FIS247
20165394,MEC206
20161798,MAT241
20165394,MEC286
20177013,INF281
20187490,FIS208
20209347,INF245
20175340,INF245
20151338,INF239
20193940,INF281
20175340,MAT241
20182284,MAT781
20159943,MEC206
20203099,INF250
20164917,FIS218
20196975,MEC270
20164265,INF220
20177013,INF238
20209347,INF248
20187490,MEC209
20161798,INF248
20177013,INF282
20177013,FIS208
20187490,INF246
20161798,MAT241
20151338,MAT241
20175376,INF282
20182284,INF220
20185528,FIS208
20165394,FIS239
20151338,FIS247
20182284,MEC206
20164917,MEC206
20171444,FIS219
20151338,FIS248
20164917,FIS247
20209347,FIS220
20151338,MEC2T3
20189596,INF245
20164917,MAT781
20161555,MAT218
20164917,MEC269
20159943,MEC289
20161798,MAT219
20151402,MAT241
20159943,MAT781
20161798,MEC269
20209347,MAT219
20159943,MEC2T2
20159943,INF263
20182284,MEC373
20176439,FIS203
20151338,MEC206
20164917,MEC270
20179448,INF246
20196975,FIS248
20189596,MEC2T3
20159943,MEC270
20189596,INF281
20176439,MAT781
20165394,INF263
20159943,MEC373
20189596,INF282
20204951,FIS220
20165394,FIS227
20164917,MEC269
20164917,INF281
20193940,FIS227
20185528,INF245
20187490,MEC286
20164265,MEC2T3
20159943,MAT781
20203099,FIS229
20159943,FIS229
20164917,MAT241
20203099,INF239
20203099,INF238
20151338,FIS208
20177013,MEC2T3
20171444,MEC2T3
20196975,INF245
20174723,MAT218
20151402,INF250
20209347,FIS220
20177013,INF250
20177013,MEC270
20175340,FIS239
20182284,MEC206
20151402,INF263
20185528,INF245
20151338,INF248
20203099,FIS239
20161555,MEC269
20165394,FIS247
20161555,FIS220
20176439,INF281
20189596,INF263
20164265,FIS219
20185528,MEC2T3
20161798,INF246
20187490,MEC2T3
20189596,FIS220
20185528,MAT781
20189596,FIS248
20193940,MEC2T3
20185528,MEC2T2
20209347,MEC209
20175340,FIS220
20165394,INF282
20175340,FIS219
20175340,MEC206
20175376,FIS227
20187490,MEC206
20177013,MEC289
20161555,INF248
20187490,INF281
20204951,FIS218
20168937,INF248
20175340,FIS248
20179448,FIS248
20165394,INF248
20161798,FIS229
20179448,INF246
20164917,FIS239
20185528,INF250
20161798,FIS218
20165394,MEC2T2
20187490,INF239
20175340,MEC2T3
20174723,INF281
20209347,MEC286
20189596,INF245
20209347,FIS208
20174723,MEC269
20164917,MEC2T3
20209347,INF263
20171444,MEC270
20176439,MEC2T2
20182284,FIS220
20175340,MEC209
20151338,INF220
20177013,MEC289
20161555,FIS218
20174723,INF248
20164917,FIS247
20175340,MAT218
20161555,FIS219
20209347,FIS229
20185528,FIS218
20209347,MEC209
20165394,MEC206
20187490,MEC269
20175340,FIS247
20182284,MEC206
20187490,FIS218
20182284,FIS203
20203099,MEC373
20164265,MEC286
20164917,FIS208
20165394,MEC289
20185528,MEC286
20159943,INF238
20175340,MEC269
20179448,MEC286
20168937,FIS247
20209347,INF220
