1,1,Master Ball,The best Poke Ball with the ultimate level of performance. With it, you will catch any wild Pokemon without fail.,1
1,2,Ultra Ball,An ultra-high-performance Poke Ball that provides a higher success rate for catching Pokemon than a Great Ball.,1
1,3,Great Ball,A good, high-performance Poke Ball that provides a higher Pokemon catch rate than a standard Poke Ball.,1
1,4,Poke Ball,A device for catching wild Pokemon. It’s thrown like a ball at a Pokemon, comfortably encapsulating its target.,1
1,5,Safari Ball,A special Poke Ball that is used only in the Great Marsh. It is recognizable by the camouflage pattern decorating it.,1
1,6,Net Ball,A somewhat different Poke Ball that is more effective when attempting to catch Water- or Bug-type Pokemon.,1
1,7,Dive Ball,A somewhat different Poke Ball that works especially well when catching Pokemon that live underwater.,1
1,8,Nest Ball,A somewhat different Poke Ball that becomes more effective the lower the level of the wild Pokemon.,1
1,9,Repeat Ball,A somewhat different Poke Ball that works especially well on a Pokemon species that has been caught before.,1
1,10,Timer Ball,A somewhat different Poke Ball that becomes progressively more effective the more turns that are taken in battle.,1
1,11,Luxury Ball,A particularly comfortable Poke Ball that makes a wild Pokemon quickly grow friendlier after being caught.,1
1,12,Premier Ball,A somewhat rare Poke Ball that was made as a commemorative item used to celebrate an event of some sort.,1
1,13,Dusk Ball,A somewhat different Poke Ball that makes it easier to catch wild Pokemon at night or in dark places like caves.,1
1,14,Heal Ball,A remedial Poke Ball that restores the HP of a Pokemon caught with it and eliminates any status conditions.,1
1,15,Quick Ball,A somewhat different Poke Ball that has a more successful catch rate if used at the start of a wild encounter.,1
1,16,Cherish Ball,A quite rare Poke Ball that has been crafted in order to commemorate a special occasion of some sort.,1
2,17,Potion,A spray-type medicine for treating wounds. It can be used to restore 20 HP to an injured Pokemon.,2
2,18,Antidote,A spray-type medicine for poisoning. It can be used once to lift the effects of being poisoned from a Pokemon.,2
2,19,Burn Heal,A spray-type medicine for treating burns. It can be used once to heal a Pokemon suffering from a burn.,2
2,20,Ice Heal,A spray-type medicine for freezing. It can be used once to defrost a Pokemon that has been frozen solid.,2
2,21,Awakening,A spray-type medicine used against sleep. It can be used once to rouse a Pokemon from the clutches of sleep.,2
2,22,Paralyze Heal,A spray-type medicine for paralysis. It can be used once to free a Pokemon that has been paralyzed.,2
2,23,Full Restore,A medicine that can be used to fully restore the HP of a single Pokemon and heal any status conditions it has.,2
2,24,Max Potion,A spray-type medicine for treating wounds. It will completely restore the max HP of a single Pokemon.,2
2,25,Hyper Potion,A spray-type medicine for treating wounds. It can be used to restore 120 HP to an injured Pokemon.,2
2,26,Super Potion,A spray-type medicine for treating wounds. It can be used to restore 60 HP to an injured Pokemon.,2
2,27,Full Heal,A spray-type medicine that is broadly effective. It can be used once to heal all the status conditions of a Pokemon.,2
2,28,Revive,A medicine that can revive fainted Pokemon. It also restores half of a fainted Pokemon’s maximum HP.,2
2,29,Max Revive,A medicine that can revive fainted Pokemon. It also fully restores a fainted Pokemon’s maximum HP.,2
2,30,Fresh Water,Water with a high mineral content. When consumed, it restores up to 30 HP to an injured Pokemon.,2
2,31,Soda Pop,A highly carbonated soda drink. When consumed, it restores up to 50 HP to an injured Pokemon.,2
2,32,Lemonade,A very sweet and refreshing drink. When consumed, it restores up to 70 HP to an injured Pokemon.,2
2,33,Moomoo Milk,A bottle of highly nutritious milk. When consumed, it restores up to 100 HP to an injured Pokemon.,2
2,34,Energy Powder,A very bitter medicinal powder. When consumed, it restores up to 60 HP to an injured Pokemon.,2
2,35,Energy Root,An extremely bitter medicinal root. When consumed, it restores up to 120 HP to an injured Pokemon.,2
2,36,Heal Powder,A very bitter medicinal powder. It can be used once to heal all the status conditions of a Pokemon.,2
2,37,Revival Herb,A terribly bitter medicinal herb. It revives a fainted Pokemon and fully restores its maximum HP.,2
2,38,Ether,This medicine can restore 10 PP to a single selected move that has been learned by a Pokemon.,2
2,39,Max Ether,This medicine can fully restore the PP of a single selected move that has been learned by a Pokemon.,2
2,40,Elixir,This medicine can restore 10 PP to each of the moves that have been learned by a Pokemon.,2
2,41,Max Elixir,This medicine can fully restore the PP of all of the moves that have been learned by a Pokemon.,2
2,42,Lava Cookie,Lavaridge Town’s local specialty. It can be used once to heal all the status conditions of a Pokemon.,2
2,43,Berry Juice,A 100 percent pure juice made of Berries. When consumed, it restores 20 HP to an injured Pokemon.,2
2,44,Sacred Ash,This rare ash can revive all fainted Pokemon in a party. In doing so, it also fully restores their maximum HP.,2
3,45,HP Up,A nutritious drink for Pokemon. When consumed, it raises the base HP of a single Pokemon.,3
3,46,Protein,A nutritious drink for Pokemon. When consumed, it raises the base Attack stat of a single Pokemon.,3
3,47,Iron,A nutritious drink for Pokemon. When consumed, it raises the base Defense stat of a single Pokemon.,3
3,48,Carbos,A nutritious drink for Pokemon. When consumed, it raises the base Speed stat of a single Pokemon.,3
3,49,Calcium,A nutritious drink for Pokemon. When consumed, it raises the base Sp. Atk stat of a single Pokemon.,3
3,50,Rare Candy,A candy that is packed with energy. When consumed, it will instantly raise the level of a single Pokemon by one.,3
3,51,PP Up,A medicine that can slightly raise the maximum PP of a single move that has been learned by the target Pokemon.,3
3,52,Zinc,A nutritious drink for Pokemon. When consumed, it raises the base Sp. Def stat of a single Pokemon.,3
3,53,PP Max,A medicine that can optimally raise the maximum PP of a single move that has been learned by the target Pokemon.,3
3,54,Old Gateau,The Old Chateau’s hidden specialty. It can be used once to heal all the status conditions of a Pokemon.,3
4,55,Guard Spec.,An item that prevents stat reduction among the Trainer’s party Pokemon for five turns after it is used in battle.,4
4,56,Dire Hit,An item that raises the critical-hit ratio greatly. It can be used only once and wears off if the Pokemon is withdrawn.,4
4,57,X Attack,An item that sharply boosts the Attack stat of a Pokemon during a battle. It wears off once the Pokemon is withdrawn.,4
4,58,X Defense,An item that sharply boosts the Defense stat of a Pokemon during a battle. It wears off once the Pokemon is withdrawn.,4
4,59,X Speed,An item that sharply boosts the Speed stat of a Pokemon during a battle. It wears off once the Pokemon is withdrawn.,4
4,60,X Accuracy,An item that sharply boosts the accuracy of a Pokemon during a battle. It wears off once the Pokemon is withdrawn.,4
