ab7f2910,Can someone please help me understand [Castro_1021 loltyler1] how to do trading properly?
3d1a843f,[summit1g Gaules] Imagine doing this on a proper Road to Glory that's just a crazy thought.
e2b1002c,Wow there are [xQcOW summit1g] 5110 people in here!
76c491e5,[NICKMERCS Asmongold] They should just chuck a few rare consumable packs in the rewards you stingy forks!
d036de7c,I am trying to trade but [Tfue TimTheTatman] I only have 50000 coins to start with.
e0355853,Let's do some more league squad building challenges to get some rewards [Fextralife LIRIK].
5c6e9874,They call me unexpected [riotgames Rubius] you just never know what I'm going to do.
18a3364b,I have saved up over 2 million coins from playing the game [auronplay MontanaBlack88].
00ef1b3f,Spending that much on fitness cards [sodapoppin hanryang1125] is just way too much I'm just watching.
9a8d790d,Jeg har sendt en beskjed I hope you received my message [alanzoka CohhCarnage].
4a2b34c1,[Lord_Kebun LCK_Korea] That's why your team is not valuable because you don't grind.
7e152bd1,My team is now worth over 10 million coins in the game [Castro_1021 DrDisrespect].
a6f2c8d4,Quick maths I believe the total value is about [TheRealKnossi TheGrefg] 1.6 million probably.
24e2c63d,That's a lot of money to spend on players too much bro [YoDa Pestily].
f9d146c8,I haven't bought a single fitness card for my players this year [handongsuk GamesDoneQuick].
71b79a6f,[Solary Gotaga] That's really a huge waste of money that's crazy dude.
62e841f3,Two million coins spent on fitness cards? Holy crap [MOONMOON DrLupo] that's unbelievable.
8d5c41b8,Players are up so much [OgamingLoL Myth] with TOTS I could make so much profit.
5e9f3b17,You really should just do the squad building challenges instead [Evelone192 nl_Kripp].
c43b9e82,[LEC dota2mc_ru] The Bronze Pack Method is so overpowered right now I'm making so many coins.
86f2d5bb,Who did you end up packing from the red FUT Champions rewards bro? [Fresh LCS]
14c9f6c0,I've genuinely never bought a single one of those packs [ROSHTEIN ibai] laughing out loud.
60e8d715,It will probably be around 15 million [TFBlade Sardoche] maybe when you get some yourself.
b9c4f1a2,The Bronze Pack Method is an absolute goldmine [LCK Yassuo] laughing out loud.
27a8f979,[HasanAbi BeyondTheSummit] I've spent 1.2 million coins on fitness cards and my team is worth a similar price.
76c491e6,It's crazy that anchor chemistry styles are now like 4000 coins [Dota2RuHub Bugha].
d14c9f6c,And before that [RocketLeague csgomc_ru] I had enough coins through buying packs already.
173edd99,I remember I counted that a month ago [Clix Gorgc] and it was already disgraceful.
bf1e32f8,[saddummy NoWay4u_Sir] Having Ronaldo on my team is such a game-changer for me.
12cb0d6f,Who do you think is better gold Neymar or the 88 Felipe? [RiotGamesBrazil JLTomy]
e24a56b9,I packed a really crappy icon from my weekly rewards siuuuu! [SolaryFortnite ONSCREEN]
808b6695,I'm trading with Mass going from 1 million to 0 in less than 2 days let's go! [AdmiralBahroo Quin69]
48f76607,Can we please get a ban on that user? [Trymacs dasMEHDI] Thank you very much.
7e152bd1,You simply can't compare those two players [sneakylol NickEh30] they are completely different.
71f2b57a,That's a tough break I am paying my respects [fps_shaka LVPes].
83eb002b,You've got it Jake we're all here for you [Vader forsen].
2f12c31e,We've got a triple team working together [Papaplatte StarLadder_cs_en] this is so fun.
78d91c12,Why didn't I buy all the anchor cards when they were only 700 coins? [Symfuhny DreamHackCS]
fceca079,It's so funny anchors were 800 coins just a week ago. [Mizkif Rainbow6]
