XStormHD,5758257274,38932.69,4865726,PUBG
IBladeYT,1223605816,23067.28,6049070,CODWarzone
AAceLOL,7628030401,32811.19,7787486,Valorant
SWolfLOL,5439797645,19150.27,8634007,PUBG
VToxicLive,7570646139,5579.54,9493402,CODWarzone
KWolfTV,1061513405,20813.13,9875660,Valorant
XGamerPro,2881361283,7751.96,2246312,LeagueOfLegends
SFire_,4218118352,32848.5,8140558,Valorant
PAceLOL,2835411712,30394.97,559210,GTA V
AToxic24,4768986399,32004.63,3487998,Minecraft
KAceHD,4681707303,13448.02,2268670,JustChatting
VSniperTV,1632315434,14571.67,977978,Fortnite
VAceHD,2239969392,19103.38,630772,CS2
AGamerHD,6169567286,39951.28,1388683,Fortnite
KAceXD,7323947101,21097.47,7729825,LeagueOfLegends
VDrakeLive,7966917804,21506.85,9198043,JustChatting
VNovaPro,7284344464,29415.37,6264450,Minecraft
XFireLive,6052517670,15398.14,8859654,Valorant
XFireXD,6820977937,25501.03,6233060,LeagueOfLegends
ASniperTV,6636334340,17068.69,2583949,GTA V
INova24,1184645352,27518.15,5896600,MTG
XFire_,3405545601,12531.19,6720408,Valorant
VFireYT,3962447151,9482.01,5584821,Minecraft
ZWolfPro,4142543455,9526.37,3607708,JustChatting
KFirePro,7351268210,33612.83,3146360,Valorant
KSniperLive,2675787330,6166.83,2473419,Fortnite
NSniperTV,3517471217,13566.06,8801863,Minecraft
TBladeZone,2764425832,17337.19,4776430,GTA V
NGamerLOL,3557331962,9643.78,6907281,MTG
TToxicZone,7744313252,16735.53,1466964,GTA V
VNova24,6678613268,12518.8,6471324,CS2
SSniperYT,4653385695,21821.41,1463567,CS2
PSniperLOL,6748651815,21253.3,4358613,JustChatting
VSniper24,7888057276,14536.75,5444814,JustChatting
VStormLive,5569687479,14218.08,4816410,CS2
ZAceXD,4234669496,34402.19,1476553,CODWarzone
XNovaPro,7932243409,25724.59,6203668,GTA V
VToxicZone,2616794664,12945.76,9048825,Fortnite
ISniperLOL,1381373346,32551.07,8832439,CODWarzone
NBlade24,5305136667,21949.6,8988414,CODWarzone
PNovaLive,5689074822,7412.85,9898674,Minecraft
SBladePro,4533281924,15539.1,807584,MTG
IStormXD,7388146060,12634.5,713286,Fortnite
IDrakeTV,4157436885,24734,3991675,CS2
SNovaLive,3140651644,26588.33,2813003,MTG
KDrakeLive,1528147304,8833.35,7170494,CODWarzone
ISniperPro,6460434898,19360.48,1823022,CS2
AGamer_,7001413102,33773.86,9144358,Fortnite
TDrakeHD,4759440609,9884.38,6235833,JustChatting
AStormHD,5067627202,38516.92,4332797,Valorant
PSniper_,2664874875,30052.17,3977111,GTA V
IBladeLOL,4510138968,33553.57,6840564,CS2
AGamerYT,7109031755,13152.64,5333772,LeagueOfLegends
XToxicTV,2952614492,26334.27,9459776,Minecraft
PFireXD,3441781970,11899.26,8570335,Minecraft
ZGamer_,3068406487,13281.35,3181152,JustChatting
PWolfXD,3080172382,20507.94,5564103,PUBG
NWolfLive,5327369176,20483.77,8914168,GTA V
NNova_,6059302691,24392.47,7683982,Fortnite
NBladeZone,1466048001,38890.03,7986016,LeagueOfLegends
VDrakeHD,2808767846,5948.83,964237,CODWarzone
TNovaHD,4259245448,9030.64,4867767,Fortnite
AWolfTV,6902261770,30168.59,4231891,GTA V
PGamerXD,5190507583,19398.08,4884207,MTG
NBladeHD,3120627621,34315.11,1058736,CODWarzone
NSniperHD,6340891195,20928.42,726241,PUBG
ANovaPro,5352753395,23665.45,1313440,MTG
XGamerLive,3412556335,5127.95,1019027,JustChatting
VWolfTV,6257097914,16297.32,4634707,Fortnite
NStormLOL,7634030746,37433.65,9217569,Valorant
TWolfHD,4115906108,23106.7,6201782,JustChatting
NStorm24,6105075185,10610.45,6056987,CS2
VWolfXD,2687529091,26076.6,9279805,CS2
XToxicXD,1723708779,31765.32,2449516,GTA V
VGamer_,6742894918,37153.98,1304955,PUBG
TBlade_,5574689695,22389.76,3035602,JustChatting
ZAcePro,7033194688,34092.35,3666214,MTG
KDrakeTV,2886520602,29091.82,9620544,Valorant
SWolfHD,5084257117,36015.02,4993990,CS2
NSniperXD,4497013428,8577.42,4929440,CODWarzone
IGamerPro,3986914905,19464.62,7355995,CS2
ZWolfLOL,6361949910,27314.76,1352353,Valorant
SGamerHD,1645638479,23056.9,1468471,Fortnite
AStorm_,4592376872,21887.3,4105974,JustChatting
VAceTV,7137587648,19396.36,6677823,CODWarzone
PToxicTV,3282083150,25187.91,9292168,GTA V
INovaYT,3913738595,37324.86,9912182,Fortnite
ZDrakeYT,1405043547,33476.74,5124344,Valorant
VAce24,5928065472,11629.15,1751105,PUBG
PFireTV,4075326245,35854.31,3858606,Fortnite
XBlade_,6271337604,24638.22,7851926,Valorant
ZSniperPro,7724509218,38495.19,5147049,GTA V
ZStormZone,1517778181,22457.06,7383796,PUBG
XNovaZone,6526996941,27278.9,9465234,JustChatting
KWolf_,6537495035,31470.7,9059695,Minecraft
IDrakeXD,4974277481,12068.28,8404482,GTA V
INovaHD,5364308874,32550.68,6822614,CODWarzone
TDrakeTV,7193355329,15953.38,9484363,CODWarzone
KNovaHD,1641443676,35363.97,5454186,Minecraft
ABladeTV,2766125723,39769.77,837901,Minecraft
ZNovaPro,3721341924,28118.3,761421,Minecraft
XSniperZone,6947767826,23264.15,1255044,Valorant
ZWolf24,5294118573,9104.28,667442,JustChatting
ZGamer24,6132294246,12052.59,3249952,CS2
NNovaHD,7959076384,19562.7,6041915,Minecraft
