JXD-139,50375303
CRU-009,50375303
YYK-309,22777006
OTS-581,42157219
AWB-345,13245501
IHG-413,33397650
KQQ-136,97403853
OQI-373,78757121
PVZ-181,26290971
ICX-503,27912250
DFF-034,98140264
VCL-867,25171011
TZY-323,57263719
PJG-338,63437380
SSD-176,35584593
BWD-036,60574154
FLJ-040,73535476
JDC-028,31193794
OTH-462,73185299
QIL-029,86828079
UWA-476,77484838
XOA-735,13245501
OBI-353,79901434
AWB-345,16552775
CSZ-863,57690875
UWA-476,73535476
MLE-193,87813843
UOD-420,95751208
KWP-672,87800799
BXY-119,20864087
KCO-488,46462527
PQH-935,71984468
GBJ-693,15561764
XLF-273,43488351
RSE-049,15210391
CJE-310,79464412
SJQ-827,76388967
TKM-141,89148118
EBI-299,76388967
DFF-034,79140840
SSD-176,37110873
ZEX-027,43043986
OBI-353,73914283
SJD-818,41036366
GLC-370,28390487
YUQ-590,45783712
QHC-492,29337157
CIM-038,35565959
CRU-009,96258632
AHB-459,12663268
MQR-442,86828079
CNN-411,16552775
AFL-718,50365593
CIM-038,11602775
XZR-640,78078115
LDR-510,62324793
QUU-384,37110873
OWN-701,36380447
BTO-226,77484838
BRD-969,98140264
ZEX-027,29337157
DFJ-952,84165595
RDT-761,84165595
TMN-884,88956889
FEG-454,59162728
JDC-028,50365593
JCW-489,69324480
KWP-672,46462527
VDD-853,49087435
ZEX-027,79901434
ZVA-180,33713901
KQA-580,50375303
QUU-384,77642521
TKM-141,78922174
NMV-644,94080926
CIM-038,93845419
TYF-885,62566305
OQI-373,86402303
AHB-459,79901434
IDO-503,32565207
BCK-361,49087435
TYF-885,83505958
OPT-996,25171011
VVS-017,45877001
QUU-384,67418025
YOT-530,43053402
ISU-815,52097922
III-576,63437380
LWG-915,50365593
BWD-036,57263719
AFL-718,78922174
AWB-345,63437380
YYU-726,12663268
JJN-837,11602775
ZWF-661,17972674
EJW-346,83505958
BWD-036,79475585
UWA-476,17972674
XLF-273,89148118
UXG-019,32565207
NSM-283,79464412
VJI-529,95161027
TYF-885,79140840
YZD-580,37110873
