101,7/4/2025,CONTROL,11:00,PROGRAMADA,Luna,Labrador,Negro,CANINO
101,8/4/2026,VACUNACION,10:00,PROGRAMADA,Luna,Labrador,Negro,CANINO
103,3/10/2025,VACUNACION,12:30,PROGRAMADA,Rocky,Bulldog,Marron,CANINO
103,8/4/2026,CONTROL,10:30,REPROGRAMADA,Rocky,Bulldog,Marron,CANINO
105,9/4/2026,CASTRACION,11:00,PROGRAMADA,Toby,Beagle,Tricolor,CANINO
106,9/4/2026,VACUNACION,11:30,PROGRAMADA,Simba,Comun,Naranja,FELINO
107,11/4/2026,CONTROL,12:30,PENDIENTE,Max,PastorAleman,Negro,CANINO
104,8/4/2026,CONTROL,10:30,PROGRAMADA,Nala,Persa,Gris,FELINO
109,20/12/2025,CONTROL,12:30,PROGRAMADA,Dali,Americano,Blanco,FELINO
112,14/4/2026,VACUNACION,9:30,PENDIENTE,Goku,GoldenRetriever,Marron,CANINO
110,25/4/2026,VACUNACION,10:30,PENDIENTE,LuisXV,Siberiano,plomo,FELINO
102,10/04/2026,CONTROL,10:00,PROGRAMADA,Fenix,Ninfa,Lutino,AVE
108,7/4/2025,CONTROL,09:30,PROGRAMADA,Axl Rose,Canario,Amarillo,AVE
111,8/4/2026,VACUNACION,13:00,PROGRAMADA,Slash,Canario,Agata Rojo,AVE
120,10/4/2026,VACUNACION,12:30,PROGRAMADA,Jon Bon Jovi,Canario,Amarillo Mosaico,AVE
125,20/12/2025,CONTROL,9:30,REPROGRAMADA,Debbie Harry,Canario,Amarillo Mosaico,AVE
126,03/11/2025,CONTROL,9:30,REPROGRAMADA,Pimpona,Agapornis,Lutino,AVE
109,12/03/2026,VACUNA,13:30,PROGRAMADA,Dali,Americano,Blanco,FELINO
108,17/01/2026,CONTROL,15:30,PROGRAMADA,Axl Rose,Canario,Amarillo,AVE
