101,17/4/2025,CONTROL,11:00,PROGRAMADA,Luna,Labrador,Negro,CANINO
108,17/4/2025,CONTROL,09:30,PROGRAMADA,Axl Rose,Canario,Amarillo,AVE
111,18/4/2026,VACUNACION,13:30,PROGRAMADA,Slash,Canario,Agata Rojo,AVE
120,14/4/2026,VACUNACION,12:30,PROGRAMADA,Jon Bon Jovi,Canario,Amarillo Mosaico,AVE
125,22/12/2025,CONTROL,9:30,REPROGRAMADA,Debbie Harry,Canario,Amarillo Mosaico,AVE
126,12/11/2025,CONTROL,9:30,REPROGRAMADA,Pimpona,Agapornis,Lutino,AVE
101,18/4/2026,VACUNACION,10:00,PROGRAMADA,Luna,Labrador,Negro,CANINO
103,13/10/2025,VACUNACION,12:30,PROGRAMADA,Rocky,Bulldog,Marron,CANINO
103,2/4/2026,CONTROL,10:30,REPROGRAMADA,Rocky,Bulldog,Marron,CANINO
105,19/4/2026,CASTRACION,11:00,PROGRAMADA,Toby,Beagle,Tricolor,CANINO
106,19/4/2026,VACUNACION,11:30,PROGRAMADA,Simba,Comun,Naranja,FELINO
107,11/02/2026,CONTROL,12:30,PENDIENTE,Max,PastorAleman,Negro,CANINO
104,18/4/2026,CONTROL,10:30,PROGRAMADA,Nala,Persa,Gris,FELINO
109,20/12/2025,CONTROL,12:30,PROGRAMADA,Dali,Americano,Blanco,FELINO
112,14/5/2026,VACUNACION,11:30,PENDIENTE,Goku,GoldenRetriever,Marron,CANINO
110,15/4/2026,VACUNACION,11:30,PENDIENTE,LuisXV,Siberiano,plomo,FELINO
102,20/04/2026,CONTROL,10:00,PROGRAMADA,Fenix,Ninfa,Lutino,AVE
102,21/03/2026,CONTROL,10:00,PROGRAMADA,Fenix,Ninfa,Lutino,AVE
126,21/10/2025,CONTROL,10:00,PROGRAMADA,Pimpona,Agapornis,Lutino,AVE
109,20/02/2026,CONTROL,14:30,PROGRAMADA,Dali,Americano,Blanco,FELINO
