50375303 JXD.139 6 120
50375303 CRU.009 5 200
22777006 YYK.309 3 165
42157219 OTS.581 5 2.5
13245501 AWB.345 1 3
33397650 IHG.413 3 4.8
97403853 KQQ.136 6 30
78757121 OQI.373 3 135
26290971 PVZ.181 3 15
27912250 ICX.503 1 50
98140264 DFF.034 2 1
25171011 VCL.867 3 150
57263719 TZY.323 6 120
63437380 PJG.338 2 10
35584593 SSD.176 4 220
60574154 BWD.036 2 90
73535476 FLJ.040 4 4
31193794 JDC.028 1 0.25
73185299 OTH.462 3 120
86828079 QIL.029 5 15
77484838 UWA.476 1 0.7
13245501 XOA.735 5 300
79901434 OBI.353 6 120
16552775 AWB.345 6 18
57690875 CSZ.863 5 10
73535476 UWA.476 5 3.5
87813843 MLE.193 4 200
95751208 UOD.420 4 12
87800799 KWP.672 2 20
20864087 BXY.119 4 180
46462527 KCO.488 4 20
71984468 PQH.935 2 2
15561764 GBJ.693 2 2
43488351 XLF.273 5 300
15210391 RSE.049 5 5
79464412 CJE.310 5 15
76388967 SJQ.827 5 9
89148118 TKM.141 6 300
76388967 EBI.299 5 250
79140840 DFF.034 3 1.5
37110873 SSD.176 1 55
43043986 ZEX.027 1 1.5
73914283 OBI.353 1 20
41036366 SJD.818 4 220
28390487 GLC.370 2 4
45783712 YUQ.590 2 110
29337157 QHC.492 6 120
35565959 CIM.038 4 180
96258632 CRU.009 2 80
12663268 AHB.459 3 5.1
86828079 MQR.442 3 3
16552775 CNN.411 5 300
50365593 AFL.718 5 50
11602775 CIM.038 4 180
78078115 XZR.640 5 200
62324793 LDR.510 1 3
37110873 QUU.384 4 160
36380447 OWN.701 5 7.5
77484838 BTO.226 4 80
98140264 BRD.969 1 60
29337157 ZEX.027 3 4.5
84165595 DFJ.952 1 50
84165595 RDT.761 6 30
88956889 TMN.884 1 1
59162728 FEG.454 4 200
50365593 JDC.028 6 1.5
69324480 JCW.489 5 300
46462527 KWP.672 3 30
49087435 VDD.853 2 4
79901434 ZEX.027 2 3
33713901 ZVA.180 6 330
50375303 KQA.580 5 225
77642521 QUU.384 5 200
78922174 TKM.141 5 250
94080926 NMV.644 5 200
93845419 CIM.038 5 225
62566305 TYF.885 4 8
86402303 OQI.373 3 135
79901434 AHB.459 3 5.1
32565207 IDO.503 6 15
49087435 BCK.361 3 1.8
83505958 TYF.885 5 10
25171011 OPT.996 6 18
45877001 VVS.017 4 3.2
67418025 QUU.384 1 40
43053402 YOT.530 2 8
52097922 ISU.815 5 2.5
63437380 III.576 5 50
50365593 LWG.915 3 150
57263719 BWD.036 3 135
78922174 AFL.718 5 50
63437380 AWB.345 4 12
12663268 YYU.726 4 6.4
11602775 JJN.837 1 40
17972674 ZWF.661 1 5
83505958 EJW.346 3 30
79475585 BWD.036 5 225
17972674 UWA.476 4 2.8
89148118 XLF.273 5 300
32565207 UXG.019 4 80
79464412 NSM.283 2 100
95161027 VJI.529 2 10
79140840 TYF.885 2 4
37110873 YZD.580 5 15
11602775 XLF.273 4 240
15210391 TZY.323 3 60
27912250 LWG.915 4 200
91897732 TMN.884 2 2
98140264 QHC.492 4 80
83236386 UJV.290 5 250
52097922 OWN.701 2 3
40348917 WZD.331 3 165
71378466 BIT.434 4 40
71463316 AWT.354 4 4
95161027 III.576 5 50
71463316 KCO.488 5 25
24995742 KCO.488 4 20
20864087 JFC.432 1 20
31611146 YOT.530 4 16
85949265 JFC.432 4 80
77642521 DFJ.952 5 250
53166028 QHC.492 1 20
90237332 PFD.286 4 220
83505958 MQR.442 1 1
15561764 JYQ.045 6 30
50375303 AFL.718 1 10
77484838 AFL.718 1 10
97403853 BCK.361 5 3
12663268 XSD.310 6 330
19829266 TXM.139 3 15
63437380 KQA.580 2 90
12663268 RAH.420 3 150
89298238 PFD.286 2 110
42928709 NSM.283 5 250
45877001 PJG.338 2 10
42928709 OQI.373 5 225
32821689 ONB.903 3 4.5
71378466 FVQ.662 2 100
11602775 YYK.309 3 165
77484838 UDR.957 3 150
15561764 FYF.898 2 4
57690875 CIM.038 3 135
54716824 SPR.580 3 3
95161027 VVS.017 5 4
90365520 KWP.672 6 60
73185299 QHC.492 3 60
45783712 QFR.958 3 150
49087435 SJQ.827 1 1.8
54761731 DEV.433 3 6
43053402 MMA.577 6 360
