QV96140,EL  DUQUE EN SU TERRITORIO,fiorella florencio polo,12,37.47
KC34197,LAS DEMOLICIONES DE  PARIS,zkenia chung zuniga,10,294.26
VA35843,L-ECOLE DES MENAGES,walter  jolay chumpitaz,14,234.01
XN48844,THE  COUNTESS DE  CHARNY,rosario tabori arias,30,265.70
IW10872,EL  CLUB DE LOS EXPLOTADORES,cesar rodriguez serrano,5,263.45
ZR63735,ELOGIO DE LA MADRASTRA,julio  vilcara jugo,26,185.88
FY25192,LA HERMOSA JARDINERA,humberto amezquita contreras,8,113.40
OC73472,LE  COUSIN  PONS,jaime shirakawa florian,30,413.61
QE47018,EL  MANUSCRITO DEL  DOMINO,raul  collado villa,1,276.71
UW23132,HOUSE OF  POMEGRANATES,david perez antezano,8,441.52
SV17719,LE  COLONEL  CHABERT,cinthia zegarra cabello,9,51.20
SA04133,AN  IDEAL  HUSBAND,delicia  norabuena zegarra,11,239.17
SK15788,LE  CHEF-D OEUVRE INCONNU,blanca acuna ayllon,22,112.52
JO84937,HISTORIA DE  MAYRA,valentina urbina antezano,27,53.48
NF53199,SUSPENSE,emilio gonzales aguirre,17,367.64
BB35881,UNA  NAVIDAD,edilberto mori suarez,4,32.80
XW06135,THE  NUTCRACKER,humberto vargas guevara,4,77.27
QO90975,LA  PEAU DE CHAGRIN,janet aranda minaya,30,158.03
TA81777,MUSICA PARA CAMALEONES,luz jauregui bravo,3,218.59
FW74175,LA  COUSINE  BETTE,surami preciado pinto,18,279.44
OT07742,LA  FILLE AUX YEUX D-OR,alfonso cabello lam,13,195.87
PL70268,LADY --  WINDERMERES  FAN,victor garcia astete,4,329.24
QA53897,THE  CORSICAN  BROTHERS,ofelia mercado caro,8,62.87
ZQ38637,LA CASA GRADE,delicia  arca aquino,7,214.72
PT00038,EL NINO PERDIDO,giovana  mejia zegarra,3,80.23
FY82455,LA GUERRA DEL FIN DE SIGLO,milena zarate acuna,13,352.36
KW25071,LA  RESURRECCIÓN DE  ROCAMBOLE,francisco  zimic salas,4,313.22
ZK87496,BEAT THE  DEVIL,miguel landeo estrada,19,178.81
BH96036,LOS TESOROS DEL  RAJAH,delicia arca leiva,6,360.73
LM05731,LE  CHEVALIER DE  MAISON -  ROUGE,yliana ortiz guevara,12,352.26
XQ03477,LES  RESSOURCES DE  QUINOLA,johan ayala zevallos,19,369.37
ZM20053,THE  FENCING  MASTER,felicita castillo chung,5,26.41
MG75057,UN VIAJE DE 75 DIAS,victoria shirakawa saona,18,350.67
